story_000210_phrase_2948103948,"وَ بِمُرُورِ الْأَيَّامِ أَيْقَنْتُ أَنَّنِي أَرْغَبُ فِي تَعَلُّمِ الْمُوسِيقَى وَ الْأَلْحَانِ , فَطَلَبْتُ مِنْ وَالِدَيَّ أَنْ أَنْخَرِطَ فِي نَادِي الْمُوسِيقَى , فَكَانَتْ تِلْكَ بِدَايَةَ قِصَّتِي مَعَهَا","Au fil des jours, j’ai réalisé que je voulais apprendre la musique et les mélodies. J’ai donc demandé à mon père de me laisser rejoindre un club de musique. Ce fut le début de mon voyage avec elle.","As the days passed, I realized that I wanted to learn music and melodies. So I asked my father to let me join a music club. That was the beginning of my journey with it."
story_000210_phrase_7104928473,"شَجَّعَنِي مُعَلِّمِي عَلَى مُوَاصَلَةِ التَّعَلُّمِ وَ قَالَ أَنَّنِي مَوْهُوبَةٌ بِالْفِطْرَةِ , لَكِنَّنِي وَجَدْتُ صُعُوبَةً فِي قِرَاءَةِ النُّوتَاتَ , فَهِيَ تَتَطَلَّبُ الْكَثِيرَ مِنَ التَّرْكِيزِ وَ الصَّبْرِ وَ الحِفْظِ , فَوَاصَلْتُ الْعَمَلَ الْجَادَّ حْتَى تَمَكَّنْتُ مِنْهَا.","Mon professeur m'a encouragé à continuer à apprendre et m'a dit que j'étais naturellement doué, mais que j'avais du mal à lire les notes ; Cela demande beaucoup de concentration, de patience et de mémorisation, j'ai donc continué à travailler dur jusqu'à ce que je le maîtrise.","My teacher encouraged me to continue learning, and said that I was naturally gifted, but I found it difficult to read notes; It requires a lot of focus, patience, and memorization, so I continued to work hard until I mastered it."
story_000210_phrase_3849201948,"ظَلَلْتُ أَعْزِفُ عَلَى عَدِيدِ الْآلَاتِ الْمُوسِيقِيَّةِ  سَاعَاتٍ وَ سَاعَاتٍ , أَتَدَرَّبُ وَ أُتْقِنُ النُّوتَاتِ  وَ الْأَوْتَارَ , فَكَانَ الْمَنْزِلُ يَصْدَحُ بِأَلْحَانِ الْكَمَانِ وْ الصَّوْتِ الْعَذْبِ لِلْمَفَاتِيحِ الْعَاجِيَّةِ لِلْبْيَانُو , وَ طَبْعَا تَتَرَدَّدُ بَيْنَ جُدْرَانِهِ أَنْغَامُ آلَتِي الْمُفَضَّلَةُ ,  الْقِيثَارَةُ","J’aimais passer d’innombrables heures à jouer de différents instruments de musique, à m’entraîner et à maîtriser les notes et les cordes. La maison se remplissait des mélodies du violon, des doux sons qui s’échappaient des touches d’ivoire du piano et, bien sûr, des airs de mon instrument préféré, la guitare, qui résonnaient à travers ses murs.","I loved spending countless hours playing different musical instruments, practicing and mastering the notes and strings. The house would fill with the melodies of the violin and the sweet sounds flowing from the ivory piano keys, and of course, the tunes of my favorite instrument, the guitar, would echo through its walls."
story_000210_phrase_6294810394,"إِنَّنِي مُولَعَةٌ بِالْمُوسِيقَى لِدَرَجَةِ أَنَّنِي لَمْ أَعُدْ أُشَاهِدُ الرُّسُومَ الْمُتَحَرِّكَةَ  عَلَى التِّلْفَازِ فَقَطْ بَلْ أُشَاهِدُ الْحَفَلَاتَ الْمُوسِيقِيَّةَ الْعَالَمِيَّةَ وَ أَحْضَرُ فِي الْمَهْرَجَانَاتِ الْوَطَنِيّةِ أَتَعَلَّمُ مِنْهَا آلَاتٍ مُوسْيقْيَّةً جَدِيدَةً وَ مَقَاطِعَ إِبْدَاعِيَّةً رَائِعَةً . ","J'aime tellement la musique que je ne regarde plus seulement des dessins animés à la télévision, mais aussi des concerts de musique internationale. J'assiste à des festivals nationaux, j'apprends de nouveaux instruments de musique et de merveilleux clips créatifs.","I am so fond of music that I no longer only watch cartoons on television, but I also watch international music concerts. I attend national festivals, learn new musical instruments and wonderful creative clips from them."
story_000210_phrase_1049284711,"حَبِّي لِلْغِنَاءِ وَ الْأَلْحَانِ هُوَ النَّبْعُ الَّذِي أُتَرْجِمُ بِهِ مَشَاعِرِي وَمَا يَدُورُ بِخَاطِرِي وَ دَاخِلَ قَلْبِي ","Mon amour pour le chant et les mélodies est la source à travers laquelle je traduis mes sentiments et ce que j'ai en tête et dans mon cœur.","My love for singing and melodies is the source through which I translate my feelings and what is on my mind and inside my heart."

story_000420_phrase_2948104820,"اِلْتَفَتَ فَرِيدٌ حَوْلَهُ يَتَأَمَّلُ الْمَكَانَ , السَّاحَة ُتَعْبَقُ بِالطِّيبِ . وَ الْحَفْلُ بَهِيجٌ يَضُمُّ عَدَدًا كَبِيرًا مِنَ الْأَصْدِقَاءِ وَ الصَّدِيقَاتِ الَّذِين لَمْ يَرَهُمْ مِنْ أَيَّامِ الدِّرَاسَةِ فِي كَوْكَبِ الرُّوبَوتَاتِ.","Ferid regarda autour de lui, contemplant l’endroit. La place était imprégnée d’un parfum agréable, et la fête était joyeuse, réunissant un grand nombre d’amis et d’amies qu’il n’avait pas vus depuis ses années d’études sur la planète des robots.","Ferid looked around him, observing the place. The square was filled with a pleasant fragrance, and the celebration was joyful, bringing together a large number of friends, both male and female, whom he had not seen since his school days on the Planet of Robots."
story_000420_phrase_5839102948,"فَقَدْ  جَلَبُوا مَعَهُمْ هَدَايَا مُخْتَلِفَةَ الْأَحْجَامِ وَ الْأَلْوَانِ . وَ فِي لَمْحِ الْبَصَرِ  تَحَوَّلَ الْمَكَانُ إِلَى خَلِيَّةِ نَحْلٍ . هَؤُلَاء يَرْقُصُونَ بِخِفَّةٍ مُسْتَمْتِعِينَ بِأَلْحَانِ نَغَمٍ الْعَذْبَةِ وَ هَؤُلَاء يَتَبَادَلُونَ الطَّرَائِفَ وَ يَضْحَكُونَ ..","Ils ont apporté avec eux des cadeaux de différentes tailles et couleurs, et en un clin d'œil l'endroit s'est transformé en ruche, les gens dansaient. Avec légèreté, appréciant les douces mélodies de Nagham, ils échangèrent des anecdotes et rirent.","They brought with them gifts of different sizes and colors, and in the blink of an eye the place turned into a beehive, people dancing. Lightly, enjoying Nagham's sweet melodies, they exchanged anecdotes and laughed."
story_000420_phrase_1049284756,"لَكِنْ لَمْ يَهْدَأْ بَاسِمُ إِلَّا بِالْإتِّصَالِ بِحَيَاءٍ , فَحَاوَلُوا مِرَارًا وَ تِكْرَارًا دُونَ جَدْوَى.","Mais Basim ne s’est calmé qu’après avoir réussi à contacter Haya. Il a essayé encore et encore, mais sans résultat.","But Basim did not calm down until he managed to contact Haya. He tried again and again, but without success."
story_000420_phrase_8374910294,"وَ فَجْأَةً وَصَلَتْ رِسَالَةُ اِسْتِغَاثَةٍ مِنْ حَيَاء هَزَّتْ أَنَامِلَ الصَّدِيقَيْنِ : النَّجْدَة! النجدة! يَا رِفَاقِي سَاعِدُونِي لَقَدْ أُصِبْت …","Soudain, un message de détresse arriva de Haya, faisant trembler les doigts des deux amis : << Au secours ! Au secours, mes amis ! Aidez-moi, j’ai été blessée. >>","Suddenly, a distress message arrived from Haya, shaking the fingers of the two friends: << Help! Help, my friends! Save me, I have been injured.>>"
story_000420_phrase_4728103948,"ذُعِرَ الصَّدِيقَانِ ذُعْرًا شَدِيدًا فَقَدْ انْقَطَعَ الإتِّصَالُ وَ حَيَاءُ لَمْ يُحَدَّدْ مَكَانُهَا بَعْدُ وَبَيْنَمَا كَانَ فَرِيدٌ يُحَاوِلُ الإتِّصَالَ بِهَا تَوَجَّهَ بِاسِمُ إِلَى الْمَجْمُوعَةِ وَ طَلَبَ مِنْهُمْ الْمُسَاعَدَةَ وَ فِي الإِبَّانِ كَانَتْ الْحَرْكَةُ عَلَى قَدَمٍ وَ سَاقٍ وَ لَمْ يَتَرَدَّدْ أَحَدٌ فِي الْبَحْثِ عَنْهَا , فَهُمْ يُحِبُّونَهَا حُبًّا جَمًّا وَ هِيَ بِالنِّسْبَةِ لَهُمْ فَرْدٌ مِنَ الْعَائِلَةِ .","Les deux amis furent pris d’une grande panique, car la communication avait été coupée et l’endroit où se trouvait Haya n’avait pas encore été déterminé. Alors que Ferid essayait de la contacter, Basim se dirigea vers le groupe et leur demanda de l’aide. Aussitôt, tout le monde se mit en mouvement, et personne n’hésita à partir à sa recherche. Ils l’aimaient énormément, et pour eux, elle était un membre de la famille.","The two friends were extremely terrified, for the connection had been cut off and Haya’s location had still not been determined. While Ferid was trying to contact her, Basim went to the group and asked them for help. Immediately, everyone sprang into action, and no one hesitated to search for her. They loved her deeply, and to them, she was a member of the family."
story_000420_phrase_9284710482,"سَارَعَ سَدِيمُ إِلَى الْبَحْثِ فِي سِجِلَّاتِ الرَّحَلاَتِ , أَمَّا فَهْدُ فَقَدْ اِهْتَمَّ بِالْمُعِدَّاتِ اللَّازِمَةِ . فَهَاهِي نَغَمُ تَسْتَعِينُ بِصَدِيقِهَا الَّذِي يَتَكَلَّمُ كُلَّ اللُّغَاتِ لِتَتَّصِلَ بِجَميعِ الْكَوَاكِبِ فِي الْمَجَرَّةِ ,","Sadeem se précipita pour rechercher dans les registres des voyages, tandis que Fahd s’occupa du matériel nécessaire. Pendant ce temps, Nagham faisait appel à son ami qui parle toutes les langues afin de pouvoir contacter toutes les planètes de la galaxie.","Sadeem hurried to search through the travel records, while Fahd took care of the necessary equipment. Meanwhile, Nagham was seeking help from her friend, who speaks all languages, so that she could contact all the planets in the galaxy."
story_000420_phrase_3849102947,"فَتَرَى الْمَجْمُوعَةِ قَدْ قَسَّمُوا الْأَعْمَالَ وَ كُلٌّ قَامَ بِمُهِمَّتِهِ: فَهَذِهِ تَقُومُ بِإِعْدَادِ اللَّوَازِمِ مِنْ حَقِيبَةِ الإِسْعَافَاتِ الْأَوَّلِيَّةِ وهَذَا تَفَقُّدِ وَضْعِيَّةِ الْمَرْكَبَةِ لِلسَّفَرِ , أَمَّا بَاسِمُ فَقَدْ تَكَفَّلَ بِالتَّنْسِيقِ بَيْنَ كُلِّ هَذِهِ الْعَمَلِيَّاتِ وَجَمْعِ الْمَعْلُومَاتِ مِنْ جَمِيعِ الْأَطْرَافِ حَتَّى يُحَاوِلَ إِيجَادَ خَيْطٍ دَالٍّ عَلَى مَكَانِ حَيَاءٍ ","Le groupe se répartit rapidement les tâches, et chacun accomplit sa mission. L’une d’elles prépara le matériel nécessaire provenant de la trousse de premiers secours, un autre vérifia l’état du vaisseau pour le voyage, tandis que Basim se chargea de coordonner toutes ces opérations et de recueillir les informations auprès de toutes les parties afin d’essayer de trouver une piste indiquant l’emplacement de Haya.","The group quickly divided the tasks, and each person carried out his mission. One of them prepared the necessary supplies from the first-aid kit, another checked the condition of the spacecraft for the journey, while Basim took charge of coordinating all these operations and gathering information from all sides in order to try to find a clue leading to Haya’s location."
